,DegreeCentrality,Betweenness,Closeness
LTarun,0.05249343832020997,0.0,0.0
ASU,0.05511811023622047,0.0001381406271584473,0.0026246719160104987
ASUPhysics,0.0026246719160104987,0.0,0.0034995625546806646
ASU_FYS,0.0026246719160104987,0.0,0.0034995625546806646
apierno,0.0026246719160104987,0.0,0.0034995625546806646
heararizona,0.0026246719160104987,0.0,0.0034995625546806646
HawaiiCoral_Org,0.0026246719160104987,0.0,0.0034995625546806646
nrtasu,0.0026246719160104987,0.0,0.0034995625546806646
ASUCUbiC,0.0026246719160104987,0.0,0.0034995625546806646
ASU_GDCS,0.0026246719160104987,0.0,0.0034995625546806646
AsuResilience,0.0026246719160104987,0.0,0.0034995625546806646
TVProdLab,0.0026246719160104987,0.0,0.0034995625546806646
DARPA,0.0026246719160104987,0.0,0.0034995625546806646
ASUEmbeddedness,0.0026246719160104987,0.0,0.0034995625546806646
asuglobalfuture,0.0026246719160104987,0.0,0.0034995625546806646
SybilFrancisCFA,0.0026246719160104987,0.0,0.0034995625546806646
levgonick,0.0026246719160104987,0.0,0.0034995625546806646
deancallahan,0.0026246719160104987,0.0,0.0034995625546806646
JudithKarshmer,0.0026246719160104987,0.0,0.0034995625546806646
MayorGallego,0.0026246719160104987,0.0,0.0034995625546806646
switbd,0.0026246719160104987,0.0,0.0034995625546806646
NESunDevils,0.0026246719160104987,0.0,0.0034995625546806646
JohnLegere,0.05511811023622047,0.0001381406271584473,0.0026246719160104987
McKaylaMaroney,0.0026246719160104987,0.0,0.0034995625546806646
wearegalantis,0.0026246719160104987,0.0,0.0034995625546806646
mackenziebezos,0.0026246719160104987,0.0,0.0034995625546806646
weareseaforth,0.0026246719160104987,0.0,0.0034995625546806646
brandonlay,0.0026246719160104987,0.0,0.0034995625546806646
AustinJenckes,0.0026246719160104987,0.0,0.0034995625546806646
rossellismusic,0.0026246719160104987,0.0,0.0034995625546806646
LJMoynihan,0.0026246719160104987,0.0,0.0034995625546806646
TMobileIR,0.0026246719160104987,0.0,0.0034995625546806646
CGasparino,0.0026246719160104987,0.0,0.0034995625546806646
TVision,0.0026246719160104987,0.0,0.0034995625546806646
MimiJungKING5,0.0026246719160104987,0.0,0.0034995625546806646
AudienseCo,0.0026246719160104987,0.0,0.0034995625546806646
auctnr1,0.0026246719160104987,0.0,0.0034995625546806646
laurahernandezp,0.0026246719160104987,0.0,0.0034995625546806646
NYXL,0.0026246719160104987,0.0,0.0034995625546806646
souljaboy,0.0026246719160104987,0.0,0.0034995625546806646
amyklobuchar,0.0026246719160104987,0.0,0.0034995625546806646
mikewardian,0.0026246719160104987,0.0,0.0034995625546806646
PostMalone,0.0026246719160104987,0.0,0.0034995625546806646
paulocoelho,0.05511811023622047,0.0001381406271584473,0.0026246719160104987
torturra,0.0026246719160104987,0.0,0.0034995625546806646
patriciapillar,0.0026246719160104987,0.0,0.0034995625546806646
jovensreacinhas,0.0026246719160104987,0.0,0.0034995625546806646
TOLDart,0.0026246719160104987,0.0,0.0034995625546806646
nikosaliagas,0.0026246719160104987,0.0,0.0034995625546806646
blogdopannunzio,0.0026246719160104987,0.0,0.0034995625546806646
emirsader,0.0026246719160104987,0.0,0.0034995625546806646
henrybugalho,0.0026246719160104987,0.0,0.0034995625546806646
Crazyinnasia,0.0026246719160104987,0.0,0.0034995625546806646
Debora_D_Diniz,0.0026246719160104987,0.0,0.0034995625546806646
PatoCorporation,0.0026246719160104987,0.0,0.0034995625546806646
delucca,0.0026246719160104987,0.0,0.0034995625546806646
FabioPorchat,0.0026246719160104987,0.0,0.0034995625546806646
palas_athenada,0.0026246719160104987,0.0,0.0034995625546806646
Marcelodedois,0.0026246719160104987,0.0,0.0034995625546806646
ManuelaDavila,0.0026246719160104987,0.0,0.0034995625546806646
DemocraciaReina,0.0026246719160104987,0.0,0.0034995625546806646
NPTO,0.0026246719160104987,0.0,0.0034995625546806646
fpassos1964,0.0026246719160104987,0.0,0.0034995625546806646
brunnosarttori,0.0026246719160104987,0.0,0.0034995625546806646
AWS_edu,0.05511811023622047,0.0001381406271584473,0.0026246719160104987
mandsconsulting,0.0026246719160104987,0.0,0.0034995625546806646
first_wa,0.0026246719160104987,0.0,0.0034995625546806646
VCCS_SO,0.0026246719160104987,0.0,0.0034995625546806646
I_Am_NickBailey,0.0026246719160104987,0.0,0.0034995625546806646
CDWCorp,0.0026246719160104987,0.0,0.0034995625546806646
legendlearning,0.0026246719160104987,0.0,0.0034995625546806646
ImmersedGames,0.0026246719160104987,0.0,0.0034995625546806646
OpptyatWork,0.0026246719160104987,0.0,0.0034995625546806646
CSforALL,0.0026246719160104987,0.0,0.0034995625546806646
LancasterUni,0.0026246719160104987,0.0,0.0034995625546806646
UniversityLeeds,0.0026246719160104987,0.0,0.0034995625546806646
tribalgroup,0.0026246719160104987,0.0,0.0034995625546806646
ntuclearninghub,0.0026246719160104987,0.0,0.0034995625546806646
SETDA,0.0026246719160104987,0.0,0.0034995625546806646
UniOfYork,0.0026246719160104987,0.0,0.0034995625546806646
marmionacademy,0.0026246719160104987,0.0,0.0034995625546806646
wayup,0.0026246719160104987,0.0,0.0034995625546806646
exploros,0.0026246719160104987,0.0,0.0034995625546806646
OfficialGlyphEd,0.0026246719160104987,0.0,0.0034995625546806646
udacity,0.0026246719160104987,0.0,0.0034995625546806646
RaoKavitha,0.05511811023622047,0.0001381406271584473,0.0026246719160104987
timesofindia,0.0026246719160104987,0.0,0.0034995625546806646
ndtv,0.0026246719160104987,0.0,0.0034995625546806646
htTweets,0.0026246719160104987,0.0,0.0034995625546806646
the_hindu,0.0026246719160104987,0.0,0.0034995625546806646
Outlookindia,0.0026246719160104987,0.0,0.0034995625546806646
NITIAayog,0.0026246719160104987,0.0,0.0034995625546806646
ajaymaken,0.0026246719160104987,0.0,0.0034995625546806646
BBCBreaking,0.0026246719160104987,0.0,0.0034995625546806646
sardesairajdeep,0.0026246719160104987,0.0,0.0034995625546806646
suhasinih,0.0026246719160104987,0.0,0.0034995625546806646
ravishndtv,0.0026246719160104987,0.0,0.0034995625546806646
MANJULtoons,0.0026246719160104987,0.0,0.0034995625546806646
k_satyarthi,0.0026246719160104987,0.0,0.0034995625546806646
EconomicTimes,0.0026246719160104987,0.0,0.0034995625546806646
anandmahindra,0.0026246719160104987,0.0,0.0034995625546806646
sureshpprabhu,0.0026246719160104987,0.0,0.0034995625546806646
soniandtv,0.0026246719160104987,0.0,0.0034995625546806646
JM_Scindia,0.0026246719160104987,0.0,0.0034995625546806646
Ram_Guha,0.0026246719160104987,0.0,0.0034995625546806646
S_MahajanLS,0.0026246719160104987,0.0,0.0034995625546806646
isro,0.05511811023622047,0.0001381406271584473,0.0026246719160104987
PIBHindi,0.0026246719160104987,0.0,0.0034995625546806646
PIB_India,0.0026246719160104987,0.0,0.0034995625546806646
rashtrapatibhvn,0.0026246719160104987,0.0,0.0034995625546806646
narendramodi,0.0026246719160104987,0.0,0.0034995625546806646
MarsWxReport,0.0026246719160104987,0.0,0.0034995625546806646
ESA_de,0.0026246719160104987,0.0,0.0034995625546806646
NASA360,0.0026246719160104987,0.0,0.0034995625546806646
CanberraDSN,0.0026246719160104987,0.0,0.0034995625546806646
PMOIndia,0.0026246719160104987,0.0,0.0034995625546806646
IndiaHistorypic,0.0026246719160104987,0.0,0.0034995625546806646
b0yle,0.0026246719160104987,0.0,0.0034995625546806646
SpaceFrontier,0.0026246719160104987,0.0,0.0034995625546806646
NASASolarSystem,0.0026246719160104987,0.0,0.0034995625546806646
NASA_Lunar,0.0026246719160104987,0.0,0.0034995625546806646
NASAGoddardPix,0.0026246719160104987,0.0,0.0034995625546806646
ESA_History,0.0026246719160104987,0.0,0.0034995625546806646
esaoperations,0.0026246719160104987,0.0,0.0034995625546806646
IndianDiplomacy,0.0026246719160104987,0.0,0.0034995625546806646
Spaceflight101,0.0026246719160104987,0.0,0.0034995625546806646
csa_asc,0.0026246719160104987,0.0,0.0034995625546806646
UnboxTherapy,0.05511811023622047,0.0001381406271584473,0.0026246719160104987
nomadgoods,0.0026246719160104987,0.0,0.0034995625546806646
BrianShenYiRen,0.0026246719160104987,0.0,0.0034995625546806646
Predator_USA,0.0026246719160104987,0.0,0.0034995625546806646
Lilly,0.0026246719160104987,0.0,0.0034995625546806646
Toronto,0.0026246719160104987,0.0,0.0034995625546806646
doinitBIGgio23,0.0026246719160104987,0.0,0.0034995625546806646
yunitogurriel,0.0026246719160104987,0.0,0.0034995625546806646
19boknows,0.0026246719160104987,0.0,0.0034995625546806646
